Código,Descrição, Porte  ,Número de Auxiliares,Porte Anestésico,Filme m² 
30715164,Fraturas ou fratura-luxação de coluna - tratamento cirúrgico, 8C ,2,5,
30715172,Hemivértebra - ressecção via anterior ou posterior - tratamento cirúrgico, 9A ,2,4,
30715180,Hérnia de disco tóraco-lombar - tratamento cirúrgico, 9C ,1,5,
30715199,Laminectomia ou laminotomia, 9C ,2,5,
30715202,Microcirurgia para tumores extra-intradurais, 12A ,2,7,
30715210,Osteomielite de coluna - tratamento cirúrgico, 8B ,2,4,
30715229,Osteotomia de coluna vertebral - tratamento cirúrgico, 8C ,2,5,
30715237,Outras afecções da coluna - tratamento incruento, 3B ,,2,
30715245,Pseudartrose de coluna - tratamento cirúrgico, 9C ,2,6,
30715253,Punção liquórica, 2B ,,2,
30715261,Retirada de corpo estranho - tratamento cirúrgico , 8B ,2,4,
30715270,Retirada de material de síntese - tratamento cirúrgico , 8A ,1,3,
30715288,Substituição de corpo vertebral, 10B ,2,6,
30715296,Tração cervical transesquelética, 8B ,1,2,
30715300,Tratamento cirúrgico da cifose infantil, 11B ,2,7,
30715318,Tratamento cirúrgico da lesão traumática raquimedular, 11B ,2,6,
30715326,Tratamento cirúrgico das malformações craniovertebrais, 10B ,2,6,
30715334,Tratamento cirúrgico do disrafismo espinhal, 10B ,2,5,
30715342,Tratamento conservador do traumatismo raquimedular (por dia), 3C ,,0,
30715350,"Tratamento microcirúrgico das lesões intramedulares (tumor, malformações arteriovenosas, siringomielia, parasitoses)", 13B ,2,7,
30715369,Tratamento microcirúrgico do canal vertebral estreito por segmento, 9C ,2,6,
30715385,Tumor ósseo vertebral - ressecção com substituição com ou sem instrumentação - tratamento cirúrgico, 10B ,2,5,
30715393,Hérnia de disco cervical - tratamento cirúrgico, 10C ,2,5,
30715407,Fratura de coluna com gesso - tratamento conservador,2C,,,
30715423,Radiculotomia (com diretriz definida pela ANS - nº 62),10C,1,5,
30715598,Artroplastia Discal de Coluna Vertebral (com diretriz definida pela ANS - nº 133), 11A ,2,6,
30717019,Artrodese ao nível do ombro - tratamento cirúrgico, 8B ,2,4,
30717027,Artroplastia escápulo umeral com implante - tratamento cirúrgico, 10A ,2,5,
30717035,Artrotomia glenoumeral - tratamento cirúrgico, 6A ,1,2,
30717043,Biópsia cirúrgica da cintura escapular, 3C ,1,1,
30717051,Deformidade (doença) Sprengel - tratamento cirúrgico, 8A ,2,5,
30717060,Desarticulação ao nível do ombro - tratamento cirúrgico, 9A ,2,4,
30717078,Escápula em ressalto - tratamento cirúrgico, 7A ,1,2,
30717086,Fratura de cintura escapular - tratamento conservador, 2B ,,0,
30717094,Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular, 3A ,1,2,
30717108,Fraturas e/ou luxações e/ou avulsões - tratamento cirúrgico - em articulação escápulo-umeral e cintura escapular, 7C ,2,3,
30717116,Luxações crônicas inveteradas e recidivantes - tratamento cirúrgico - em articulação escápulo-umeral e cintura escapular, 8C ,2,3,
30717124,Osteomielite ao nível da cintura escapular - tratamento cirúrgico, 6C ,2,3,
30717132,Pseudartroses e/ou osteotomias da cintura escapular - tratamento cirúrgico, 8C ,2,4,
30717140,Ressecção parcial ou total de clavícula - tratamento cirúrgico, 8A ,1,2,
30717159,Revisão cirúrgica de prótese de ombro, 11A ,2,5,
30717167,Transferências musculares ao nível do ombro - tratamento cirúrgico, 7C ,1,3,
30717175,Fratura de clavícula ou escápula - tratamento conservador,2C,,,
30718015,Amputação ao nível do braço - tratamento cirúrgico, 8A ,1,3,
30718023,Biópsia cirúrgica do úmero, 5B ,1,1,
30718031,Fixador externo dinâmico com ou sem alongamento - tratamento cirúrgico, 8B ,2,4,
30718040,Fratura (incluindo descolamento epifisário) - redução incruenta, 3B ,1,2,
30718058,Fratura (incluindo descolamento epifisário) - tratamento cirúrgico, 8C ,1,4,
30718066,Fratura de úmero - tratamento conservador, 2B ,,0,
30718074,Fraturas e pseudartroses - fixador externo - tratamento cirúrgico , 7A ,2,4,
30718082,Osteomielite de úmero - tratamento cirúrgico, 8A ,1,3,
30718090,"Pseudartroses, osteotomias, alongamentos/encurtamentos - tratamento cirúrgico ", 9A ,2,4,
30718104,Osteomielite de úmero - tratamento incruento,4B,1,3,
30719011,Artrodese - tratamento cirúrgico , 8B ,1,4,
30719020,Artroplastia com implante - tratamento cirúrgico , 8B ,2,5,
30719038,Artroplastias sem implante - tratamento cirúrgico , 6A ,1,3,
30719046,Artrotomia de cotovelo - tratamento cirúrgico, 5B ,1,1,
30719054,Biópsia cirúrgica de cotovelo, 3B ,1,1,
30719062,Desarticulação ao nível do cotovelo - tratamento cirúrgico, 8B ,1,3,
30719070,Fratura de cotovelo - tratamento conservador, 2A ,,0,
30719089,Fraturas / pseudartroses / artroses / com fixador externo dinâmico - tratamento cirúrgico, 7A ,2,4,
30719097,Fraturas e ou luxações - redução incruenta , 4A ,,2,
30719100,Fraturas e ou luxações - tratamento cirúrgico, 7C ,1,3,
30719119,Lesões ligamentares - redução incruenta , 3A ,,2,
30719127,"Tendinites, sinovites e artrites - tratamento cirúrgico ", 4B ,1,2,
30719135,Artrodiastase - tratamento cirúrgico com fixador externo, 7C ,1,3,
30720010,Abaixamento miotendinoso no antebraço, 6A ,1,3,
30720028,Alongamento dos ossos do antebraço com fixador externo dinâmico - tratamento cirúrgico, 7C ,2,4,
30720036,Amputação ao nível do antebraço - tratamento cirúrgico, 8B ,1,3,
30720044,Biópsia cirúrgica do antebraço, 3B ,1,1,
30720052,Contratura isquêmica de Volkmann - tratamento cirúrgico, 8A ,2,4,
30720060,Correção de deformidade adquirida de antebraço com fixador externo, 6A ,2,4,
30720079,Encurtamento segmentar dos ossos do antebraço com osteossíntese - tratamento cirúrgico, 6A ,2,3,
30720087,Fratura do antebraço - tratamento conservador, 2A ,,0,
30720095,Fratura e/ou luxações (incluindo descolamento epifisário cotovelo-punho) - tratamento cirúrgico , 6C ,1,3,
30720109,Fratura e/ou luxações (incluindo descolamento epifisário) - redução incruenta, 4A ,1,2,
30720117,Fratura viciosamente consolidada de antebraço - tratamento cirúrgico, 7C ,2,3,
30720125,Osteomielite dos ossos do antebraço - tratamento cirúrgico, 5B ,2,2,
30720133,Pseudartroses e ou osteotomias - tratamento cirúrgico , 7C ,2,4,
30720141,Ressecção da cabeça do rádio e/ ou da extremidade distal ulna - tratamento cirúrgico, 4C ,1,2,
30720150,Ressecção do processo estilóide do rádio - tratamento cirúrgico, 4C ,1,2,
30720168,Sinostose rádio-ulnar - tratamento cirúrgico, 6A ,1,2,
30720176,Tratamento cirúrgico de fraturas com fixador externo - antebraço, 6A ,1,4,
30721016,Agenesia de rádio (centralização da ulna no carpo), 9A ,2,4,
30721024,Alongamento do rádio/ulna - tratamento cirúrgico, 8B ,2,3,
30721032,Artrodese entre os ossos do carpo, 4C ,1,1,
30721040,Artrodese - fixador externo, 6A ,1,3,
30721059,Artrodese rádio-cárpica ou do punho, 7C ,1,3,
30721067,Artroplastia do punho (com implante) - tratamento cirúrgico, 8C ,1,5,
30721075,Artroplastia para ossos do carpo (com implante) - tratamento cirúrgico, 8B ,1,3,
30721083,Artrotomia - tratamento cirúrgico - punho, 3C ,1,1,
30721091,Biópsia cirúrgica de punho, 3B ,1,1,
30721105,Coto de amputação punho e antebraço - revisão, 3C ,1,1,
30721113,Desarticulação do punho - tratamento cirúrgico, 6C ,1,3,
30721121,Encurtamento rádio/ulnar, 8B ,2,3,
30721130,Fratura de punho - tratamento conservador, 2A ,,0,
30721148,Fratura de osso do carpo - redução cirúrgica, 4C ,1,2,
30721156,Fratura do carpo - redução incruenta, 2C ,1,1,
30721164,Fraturas - fixador externo , 6A ,1,3,
30721172,Fraturas do carpo - tratamento conservador, 2C ,,0,
30721180,Fraturas e/ou luxações do punho - redução incruenta, 4A ,1,2,
30721199,Fraturas e/ou luxações do punho - tratamento cirúrgico, 6C ,1,2,
30721202,Luxação do carpo - redução incruenta, 2B ,,1,
30721210,Pseudartroses - tratamento cirúrgico , 7B ,2,3,
30721229,Ressecção de osso do carpo - tratamento cirúrgico, 5B ,1,2,
30721237,Reparação ligamentar do carpo, 5B ,1,3,
30721245,Sinovectomia de punho - tratamento cirúrgico, 5B ,1,2,
30721253,Transposição do rádio para ulna, 9A ,2,4,
30722012,Abscesso de mão e dedos - tenossinovites / espaços palmares / dorsais e comissurais - tratamento cirúrgico, 3A ,1,2,
30722039,Abscessos de dedo (drenagem) - tratamento cirúrgico, 2B ,,1,
30722047,Alongamento/transporte ósseo com fixador externo, 5A ,2,3,
30722055,Alongamentos tendinosos de mão, 4C ,1,2,
30722063,Amputação ao nível dos metacarpianos - tratamento cirúrgico, 5B ,1,3,
30722071,Amputação de dedo (cada) - tratamento cirúrgico, 3B ,1,1,
30722080,Amputação transmetacarpiana, 5B ,2,3,
30722098,Amputação transmetacarpiana com transposição de dedo, 6A ,2,4,
30722101,Aponevrose palmar (ressecção) - tratamento cirúrgico, 5B ,1,3,
30722110,Artrodese interfalangeana / metacarpofalangeana -  tratamento cirúrgico, 4C ,1,1,
30722128,Artroplastia com implante na mão (MF e IF) múltipla, 9B ,1,4,
30722136,Artroplastia com implante na mão (MF ou IF), 9B ,1,3,
30722144,Artroplastia interfalangeana / metacarpofalangeana - tratamento cirúrgico, 7C ,1,3,
30722152,Artrotomia ao nível da mão -  tratamento cirúrgico, 3A ,1,2,
30722160,Biópsia cirúrgica dos ossos da mão, 3B ,1,1,
30722179,Bridas congênitas - tratamento cirúrgico, 5B ,1,3,
30722209,Capsulectomias múltiplas MF ou IF, 5B ,1,2,
30722217,Capsulectomias única MF e IF, 3C ,1,1,
30722225,Centralização da ulna (tratamento da mão torta radial), 8B ,2,4,
30722233,Contratura isquêmica de mão - tratamento cirúrgico, 6A ,1,3,
30722241,Coto de amputação digital - revisão, 3B ,1,1,
30722250,Dedo colo de cisne - tratamento cirúrgico, 5B ,2,2,
30722268,Dedo em botoeira - tratamento cirúrgico, 5B ,2,2,
30722276,"Dedo em gatilho, capsulotomia / fasciotomia - tratamento cirúrgico", 3C ,1,1,
30722284,Dedo em martelo - tratamento cirúrgico, 4C ,1,2,
30722292,Dedo em martelo - tratamento conservador, 3B ,,0,
30722306,Enxerto ósseo (perda de substância) - tratamento cirúrgico, 6A ,1,3,
30722314,Exploração cirúrgica de tendão de mão, 2B ,1,1,
30722322,Falangização, 9A ,1,3,
30722330,Fixador externo em cirurgia da mão, 4C ,1,2,
30722349,Fratura de falanges - tratamento conservador, 2C ,,0,
30722357,Fratura de Bennett - redução incruenta, 1B ,,1,
30722365,Fratura de Bennett - tratamento cirúrgico, 4C ,1,2,
30722373,Fratura de osso da mão - tratamento conservador, 2A ,,0,
30722381,Fratura de metacarpiano - tratamento conservador, 2B ,,0,
30722390,Fratura/artrodese com fixador externo, 3C ,1,3,
30722403,Fraturas de falanges ou metacarpianos - redução incruenta, 1C ,,1,
30722411,Fraturas de falanges ou metacarpianos - tratamento cirúrgico com fixação, 4C ,1,1,
30722420,Fraturas e/ou luxações de falanges (interfalangeanas) - redução incruenta , 2B ,,1,
30722438,Fraturas e/ou luxações de falanges (interfalangeanas) - tratamento cirúrgico, 4C ,1,2,
30722446,Fraturas e/ou luxações de metacarpianos - redução incruenta, 2B ,,1,
30722454,Gigantismo ao nível da mão - tratamento cirúrgico, 9A ,2,3,
30722462,Lesões ligamentares agudas da mão - reparação cirúrgica, 5B ,1,1,
30722470,Lesões ligamentares crônicas da mão - reparação cirúrgica, 5B ,1,2,
30722489,Ligamentoplastia com âncora, 6A ,1,4,
30722497,Luxação metacarpofalangeana - redução incruenta, 2C ,,1,
30722500,Luxação metacarpofalangeana - tratamento cirúrgico, 3C ,1,1,
30722519,Osteomielite ao nível da mão - tratamento cirúrgico, 3B ,1,2,
30722527,Osteossíntese de fratura de falange e metacarpeana com fixação externa, 5B ,1,3,
30722535,Osteossíntese de fratura de falange e metacarpeana com uso de miniparafuso, 5B ,1,3,
30722543,Perda de substância da mão (reparação) - tratamento cirúrgico, 3C ,1,2,
30722551,Plastica ungueal, 4C ,1,2,
30722560,Policização ou transferência digital, 9A ,2,5,
30722578,Polidactilia articulada - tratamento cirúrgico, 4C ,1,2,
30722586,Polidactilia não articulada - tratamento cirúrgico, 3A ,1,1,
30722594,Prótese (implante) para ossos do carpo, 6A ,2,3,
30722608,Pseudartrose com perda de substâncias de metacarpiano e falanges, 6A ,1,3,
30722616,Pseudartrose do escafóide - tratamento cirúrgico, 8A ,2,3,
30722624,Pseudartrose dos ossos da mão - tratamento cirúrgico, 3C ,1,3,
30722632,Reconstrução da falange com retalho homodigital, 9B ,1,3,
30722640,Reconstrução de leito ungueal, 5B ,1,1,
30722659,Reconstrução do polegar com retalho ilhado osteocutâneo antebraquial, 10A ,2,4,
30722667,Reimplante de dois dedos da mão, 13A ,3,6,
30722675,Reimplante do membro superior nível transmetacarpiano até o terço distal do antebraço, 13A ,3,6,
30722683,Reimplante do polegar, 13A ,3,6,
30722691,Reparações cutâneas com retalho ilhado antebraquial invertido, 9B ,2,3,
30722705,Ressecção 1ª fileira dos ossos do carpo, 6A ,1,1,
30722713,Ressecção de cisto sinovial, 3B ,1,1,
30722721,"Retração cicatricial de mais de um dedo, sem comprometimento tendinoso - tratamento cirúrgico", 5A ,1,2,
30722730,Retração cicatricial de um dedo sem comprometimento tendinoso - tratamento cirúrgico, 3C ,1,2,
30722748,Retração cicatricial dos dedos com lesão tendínea - tratamento cirúrgico, 5B ,1,3,
30722756,Revascularização  do  polegar  ou  outro  dedo , 13A ,3,6,
30722764,Roturas do aparelho extensor de dedo - redução incruenta, 1C ,,1,
30722772,Roturas tendino-ligamentares da mão (mais que 1) - tratamento cirúrgico, 3C ,1,1,
30722780,Sequestrectomias, 2B ,1,2,
30722799,Sindactilia de 2 dígitos - tratamento cirúrgico , 5B ,2,3,
30722802,Sindactilia múltipla - tratamento cirúrgico, 8B ,2,4,
30722810,Sinovectomia da mão (1 articulação), 3A ,1,1,
30722829,Sinovectomia da mão (múltiplas), 5B ,1,3,
30722845,Transposição de dedo - tratamento cirúrgico, 9A ,2,4,
30722853,Tratamento cirúrgico da polidactilia múltipla e/ou complexa, 9B ,1,4,
30722861,Tratamento cirúrgico da sindactilia múltipla com emprego de expansor - por estágio, 9A ,1,4,
30722870,Tratamento da doença de Kiembuck com transplante vascularizado, 5B ,2,5,
30722888,Tratamento da pseudoartrose do escafóide com transplante ósseo vascularizado e fixação com micro parafuso, 10A ,2,5,
30722900,Roturas do aparelho extensor de dedo - tratamento conservador,2C,,,
30722918,Rotura do aparelho extensor do dedo - tratamento cirúrgico,4C,2,4,
30723019,Biópsia cirúrgica de cintura pélvica, 3B ,1,1,
30723027,Desarticulação interílio abdominal - tratamento cirúrgico, 11A ,2,4,
30723035,Fratura da cintura pélvica - tratamento conservador, 2A ,,0,
30723043,Fratura/luxação com fixador externo - tratamento cirúrgico, 8A ,2,4,
30723051,Fraturas e/ou luxações do anel pélvico (com uma ou mais abordagens) - tratamento cirúrgico, 9C ,2,5,
30723060,Fraturas e/ou luxações do anel pélvico - redução incruenta, 2C ,,3,
30723078,Osteomielite  ao nível da pelve - tratamento cirúrgico, 8A ,2,3,
30723086,Osteotomias / artrodeses - tratamento cirúrgico, 9A ,2,4,
30723094,Fratura de pelve sem aparelho pelve-podálico - tratamento conservador,2C,,,
30723108,Fratura e/ou luxação de anel pélvico - tratamento conservador,2C,,,
30723116,Fratura ou disjunção ao nível da pelve - tratamento conservador com gesso,2C,,,
30723124,Fratura ou disjunção ao nível da pelve - tratamento conservador sem gesso,2C,,,
30724015,Artrite séptica  - tratamento cirúrgico - articulação coxo-femoral, 7A ,1,4,
30724023,Artrodese / fratura de acetábulo (ligamentotaxia) com fixador externo, 8B ,1,5,
30724031,Artrodese coxo-femoral em geral - tratamento cirúrgico, 9B ,2,5,
30724040,Artrodiastase de quadril, 7C ,1,5,
30724058,Artroplastia (qualquer técnica ou versão de quadril) - tratamento cirúrgico, 11C ,3,6,
30724066,Artroplastia de quadril infectada (retirada dos componentes) - tratamento cirúrgico, 9B ,2,4,
30724074,Artroplastia de ressecção do quadril (Girdlestone) - tratamento cirúrgico, 8C ,2,4,
30724082,Artroplastia parcial do quadril (tipo Thompson ou qualquer técnica) - tratamento cirúrgico, 8C ,2,5,
30724090,Artrotomia de quadril infectada (incisão e drenagem de artrite séptica) sem retirada de componente - tratamento cirúrgico, 7C ,1,3,
30724104,Artrotomia coxo-femoral - tratamento cirúrgico, 7B ,1,2,
30724112,Biópsia cirúrgica coxo-femoral, 7A ,1,2,
30724120,Desarticulação coxo-femoral - tratamento cirúrgico, 9A ,2,5,
30724139,Epifisiodese com abaixamento do grande trocanter - tratamento cirúrgico, 7C ,1,3,
30724147,"Epifisiolistese proximal de fêmur (fixação ""in situ"") - tratamento cirúrgico", 8A ,1,3,
30724155,Fratura de acetábulo (com uma ou mais abordagens) - tratamento cirúrgico, 10C ,2,5,
30724163,Fratura de acetábulo - redução incruenta, 4C ,1,2,
30724171,Fratura e/ou luxação e/ou avulsão coxo-femoral - redução incruenta, 3B ,1,2,
30724180,Fratura e/ou luxação e/ou avulsão coxo-femoral - tratamento cirúrgico, 9A ,2,5,
30724198,Luxação congênita de quadril (redução cirúrgica e osteotomia) - tratamento cirúrgico, 9B ,2,5,
30724201,Luxação congênita de quadril (redução cirúrgica simples) - tratamento cirúrgico, 8B ,2,4,
30724210,Luxação congênita de quadril (redução incruenta com ou sem tenotomia de adutores), 7C ,1,3,
30724228,Osteotomia - fixador externo, 7C ,2,5,
30724236,"Osteotomias  ao  nível  do  colo ou  região trocanteriana (Sugioka, Martin, Bombelli etc) - tratamento cirúrgico", 9A ,2,5,
30724244,"Osteotomias supra-acetabulares (Chiari, Pemberton, ""dial"", etc) - tratamento cirúrgico", 8C ,2,5,
30724252,Punção-biópsia coxo-femoral-artrocentese, 3C ,1,1,
30724260,Reconstrução de quadril com fixador externo, 7C ,2,6,
30724279,Revisão de artroplastias de quadril com retirada de componentes e implante de prótese, 12A ,2,7,
30724287,Tratamento  de necrose  avascular  por foragem de estaqueamento associada à necrose microcirúrgica  da cabeça femoral - tratamento cirúrgico, 8B ,3,5,
30725011,Alongamento / transporte ósseo / pseudoartrose com fixador externo - coxa/fêmur, 8B ,2,5,
30725020,Alongamento de fêmur - tratamento cirúrgico, 8A ,2,4,
30725038,Amputação ao nível da coxa - tratamento cirúrgico, 8B ,2,3,
30725046,Biópsia cirúrgica de fêmur, 3C ,1,1,
30725054,Correção de deformidade adquirida de fêmur com fixador externo, 8B ,2,4,
30725062,Descolamento epifisário (traumático ou não) - redução incruenta, 3A ,1,1,
30725070,Descolamento epifisário (traumático ou não) - tratamento cirúrgico, 9A ,2,4,
30725089,Encurtamento de fêmur - tratamento cirúrgico, 8A ,2,4,
30725097,Epifisiodese (por segmento) - tratamento cirúrgico, 4C ,1,2,
30725100,Fratura de fêmur - tratamento conservador com gesso, 3A ,,0,
30725119,Fraturas de fêmur - redução incruenta, 4C ,1,2,
30725127,Fraturas de fêmur - tratamento cirúrgico, 8B ,2,5,
30725135,"Fraturas,  pseudartroses,  correção  de  deformidades e  alongamentos com fixador externo dinâmico - tratamento cirúrgico", 8B ,2,4,
30725143,Osteomielite de fêmur - tratamento cirúrgico, 9C ,2,4,
30725151,Pseudartroses e/ou osteotomias - tratamento cirúrgico, 9C ,2,5,
30725160,Tratamento cirúrgico de fraturas com fixador externo - coxa/fêmur, 8A ,2,4,
30725178,Fêmur - descolamento epifisário de extremidades superior - tratamento conservador com gesso,2C,,,
30725186,Fêmur - descolamento epifisário de extremidades superior - tratamento conservador sem gesso,2C,,,
30725194,Fratura de extremidade superior do fêmur ou cavidade cotilóide - tratamento conservador com gesso,2C,,,
30725208,Necrose asséptica da cabeça femoral - tratamento conservador,2C,,,
30726018,Artrite séptica - tratamento cirúrgico - joelho, 7A ,1,3,
30726026,Artrodese de joelho - tratamento cirúrgico, 8A ,2,4,
30726034,Artroplastia total de joelho com implantes - tratamento cirúrgico, 10B ,2,6,
30726042,Artrotomia - tratamento cirúrgico - joelho, 7A ,1,2,
30726050,Biópsia cirúrgica de joelho, 3C ,1,2,
30726069,Desarticulação de joelho - tratamento cirúrgico, 8B ,2,3,
30726077,Epifisites e tendinites - tratamento cirúrgico, 8A ,1,3,
30726085,Fratura de joelho - tratamento conservador, 2C ,,0,
30726093,Fratura e/ou luxação de patela (inclusive osteocondral) - redução incruenta, 3A ,1,1,
30726107,Fratura e/ou luxação de patela - tratamento cirúrgico, 7B ,1,3,
30726115,Fraturas e/ou luxações ao nível do joelho - redução incruenta, 2C ,1,2,
30726123,Fraturas e/ou luxações ao nível do joelho - tratamento cirúrgico, 8B ,2,3,
30726131,"Lesão aguda de ligamento colateral, associada a ligamento cruzado e menisco - tratamento cirúrgico", 8B ,2,4,
30726140,Lesões agudas e/ou luxações de meniscos (1 ou ambos) - tratamento cirúrgico, 8A ,1,4,
30726158,Lesões complexas de joelho (fratura com lesão ligamentar e meniscal) - tratamento cirúrgico, 8A ,2,5,
30726166,"Lesões intrínsecas  de  joelho  (lesões  condrais,  osteocondrite dissecante, plica patológica, corpos livres, artrofitose) - tratamento cirúrgico", 8B ,1,3,
30726174,Lesões ligamentares agudas - tratamento incruento, 2C ,1,1,
30726182,Lesões ligamentares agudas - tratamento cirúrgico, 8A ,2,4,
30726190,Lesões ligamentares periféricas crônicas - tratamento cirúrgico, 9B ,2,3,
30726204,Liberação lateral e facectomias - tratamento cirúrgico, 8A ,1,4,
30726212,Meniscorrafia - tratamento cirúrgico, 7A ,1,3,
30726220,Osteotomias ao nível do joelho - tratamento cirúrgico, 8B ,2,3,
30726239,Realinhamentos do aparelho extensor - tratamento cirúrgico, 7B ,1,3,
30726247,Reconstruções ligamentares do pivot central - tratamento cirúrgico, 9A ,2,4,
30726255,Revisões de artroplastia total - tratamento cirúrgico, 9C ,2,6,
30726263,Revisões de realinhamentos do aparelho extensor - tratamento cirúrgico, 9A ,2,3,
30726271,Revisões de reconstruções intra-articulares - tratamento cirúrgico, 9A ,2,3,
30726280,Toalete cirúrgica - correção de joelho flexo - tratamento cirúrgico, 7B ,1,3,
30726301,Tratamento cirúrgico de luxações / artrodese / contraturas com fixador externo , 8A ,2,4,
30726310,Bolsa pré-patelar - ressecção,3C,1,1,
30727014,Alongamento / transporte ósseo / pseudoartrose com fixador externo - perna, 7C ,2,5,
30727022,Alongamento com fixador dinâmico - tratamento cirúrgico, 8A ,2,4,
30727030,Alongamento dos ossos da perna - tratamento cirúrgico, 8A ,2,4,
30727049,Amputação de perna - tratamento cirúrgico, 7C ,1,3,
30727057,Biópsia cirúrgica de tíbia ou fíbula, 3C ,1,1,
30727065,Correção de deformidade adquirida de tíbia com fixador externo, 8A ,2,4,
30727073,Correção de deformidades congênitas na perna com fixador externo, 8C ,2,4,
30727081,Encurtamento dos ossos da perna - tratamento cirúrgico, 8A ,2,3,
30727090,Epifisiodese de tíbia/fíbula - tratamento cirúrgico, 6A ,1,2,
30727103,Fratura de osso da perna - tratamento conservador, 2B ,,0,
30727111,Fraturas de fíbula (inclui o descolamento epifisário) - tratamento cirúrgico, 7C ,1,3,
30727120,Fraturas de fíbula (inclui descolamento epifisário) - redução incruenta, 3A ,1,3,
30727138,Fraturas de tíbia associada ou não a fíbula (inclui descolamento epifisário) - tratamento cirúrgico, 9A ,2,4,
30727146,Fraturas de tíbia e fíbula (inclui descolamento epifisário) - redução incruenta, 3A ,1,3,
30727154,Osteomielite dos ossos da perna - tratamento cirúrgico, 6A ,1,2,
30727162,Osteotomias e/ou pseudartroses - tratamento cirúrgico, 9A ,2,3,
30727170,Transposição de fíbula/tíbia - tratamento cirúrgico, 8C ,2,4,
30727189,Tratamento cirúrgico de fraturas de tíbia com fixador externo, 6A ,2,4,
30727197,Fratura de dois ossos da perna - tratamento conservador,2C,,,
30728010,Amputação ao nível do tornozelo - tratamento cirúrgico, 7C ,1,3,
30728029,Artrite ou osteoartrite - tratamento cirúrgico, 6A ,1,2,
30728037,Artrodese (com ou sem alongamento simultâneo) com fixador externo, 8C ,2,4,
30728045,Artrodese ao nível do tornozelo - tratamento cirúrgico, 8C ,1,3,
30728053,Artroplastia de tornozelo (com implante) - tratamento cirúrgico, 9B ,2,5,
30728061,Artrorrise do tornozelo - tratamento cirúrgico, 8A ,1,3,
30728070,Artrotomia de tornozelo - tratamento cirúrgico, 6C ,1,2,
30728088,Biópsia cirúrgica do tornozelo, 3C ,1,1,
30728096,Fratura de tornozelo - tratamento conservador, 2A ,,0,
30728100,Fraturas / pseudartroses / artroses ao nível do tornozelo com fixador externo dinâmico - tratamento cirúrgico, 8B ,2,4,
30728118,Fraturas e/ou luxações ao nível do tornozelo - redução incruenta, 3A ,1,1,
30728126,Fraturas e/ou luxações ao nível do tornozelo - tratamento cirúrgico, 8C ,2,3,
30728134,Lesões ligamentares agudas ao nível do tornozelo - tratamento incruento, 3A ,1,1,
30728142,Lesões ligamentares agudas ao nível do tornozelo - tratamento cirúrgico, 8C ,1,3,
30728150,Lesões ligamentares crônicas ao nível do tornozelo - tratamento cirúrgico, 7C ,1,3,
30728169,Osteocondrite de tornozelo - tratamento cirúrgico, 7B ,1,3,
30728177,Pseudartroses ou osteotomias ao nível do tornozelo - tratamento cirúrgico, 8B ,2,3,
30729017,Amputação ao nível do pé - tratamento cirúrgico, 7C ,1,3,
30729025,Amputação/desarticulação de pododáctilos (por segmento) - tratamento cirúrgico, 4C ,1,1,
30729033,Artrite ou osteoartrite dos ossos do pé (inclui osteomielite) - tratamento cirúrgico, 3C ,1,2,
30729041,Artrodese de tarso e/ou médio pé - tratamento cirúrgico, 8A ,1,3,
30729050,Artrodese metatarso - falângica ou interfalângica - tratamento cirúrgico, 6A ,1,2,
30729068,Biópsia cirúrgica dos ossos do pé, 3B ,1,1,
30729084,Correção de deformidades do pé com fixador externo dinâmico - tratamento cirúrgico, 6A ,1,4,
30729092,Correção de pé torto congênito com fixador externo, 6A ,2,3,
30729106,Deformidade dos dedos - tratamento cirúrgico, 3C ,1,2,
30729114,Exérese ungueal, 2B ,,1,
30729122,Fasciotomia ou ressecção de fascia plantar - tratamento cirúrgico, 4C ,1,1,
30729130,Fratura de osso do pé - tratamento conservador, 2A ,,0,
30729149,Fratura e/ou luxações do pé (exceto antepé) - redução incruenta, 2C ,1,1,
30729157,Fratura e/ou luxações do pé (exceto antepé) - tratamento cirúrgico, 6A ,2,2,
30729165,Fraturas e/ou luxações do antepé - redução incruenta, 2B ,1,1,
30729173,Fraturas e/ou luxações do antepé - tratamento cirúrgico, 5A ,1,2,
30729181,Hallux valgus (um pé) - tratamento cirúrgico, 7A ,1,2,
30729190,Osteotomia ou pseudartrose do tarso e médio pé - tratamento cirúrgico, 6C ,1,2,
30729203,Osteotomia ou pseudartrose dos metatarsos/falanges - tratamento cirúrgico, 6B ,1,2,
30729211,Osteotomias / fraturas com fixador externo, 5C ,1,3,
30729220,Pé plano/pé cavo/coalisão tarsal - tratamento cirúrgico, 8A ,1,4,
30729238,Pé torto congênito (um pé) - tratamento cirúrgico, 8B ,1,4,
30729246,Ressecção de osso do pé - tratamento cirúrgico, 5C ,1,2,
30729254,Retração cicatricial dos dedos, 5B ,1,2,
30729262,Rotura do tendão de Aquiles - tratamento incruento, 2C ,1,1,
30729270,Rotura do tendão de Aquiles - tratamento cirúrgico, 6A ,1,2,
30729289,Tratamento cirúrgico da sindactilia complexa e /ou múltipla, 9A ,2,3,
30729297,Tratamento cirúrgico da sindactilia simples, 6A ,1,3,
30729300,Tratamento cirúrgico de gigantismo, 9B ,1,3,
30729319,Tratamento cirúrgico de linfedema ao nível do pé, 9A ,2,3,
